time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(),height_above_ground_at_drone_location(),ground_elevation_at_drone_location(),altitude_above_seaLevel(),speed(),distance(),satellites,gpslevel,voltage(v),max_altitude(),max_ascent(),max_speed(),max_distance(), xSpeed(), ySpeed(), zSpeed(), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(),altitude(),ascent(),flycStateRaw,flycState,message
356700,2019-04-25 12:39:20,43.5244786261305,40.0054115072621,0,Available with any HD 360 subscription,Available with any HD 360 subscription,338.4976196,0,0,13,4,0,338.4976196,0,0,0,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,Your aircraft is flying in an Altitude Zone (150 m). Please fly with caution.
356800,2019-04-25 12:39:20,43.5244786176247,40.0054115414978,0,,,338.4976196,0,0.0029181,13,4,0,338.4976196,0,0,0.0029181,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
356900,2019-04-25 12:39:20,43.5244786260176,40.0054115204236,0,,,338.4976196,0,0.00106133,13,4,16.248,338.4976196,0,0,0.0029181,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357000,2019-04-25 12:39:20,43.5244784733658,40.0054115537289,0,,,338.4976196,0,0.0173966,13,4,16.248,338.4976196,0,0,0.0173966,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357100,2019-04-25 12:39:20,43.5244784655804,40.0054115374986,0,,,338.4976196,0,0.0180199,13,4,16.248,338.4976196,0,0,0.0180199,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,Setting new Return-To-Home altitude to 35m (115 ft). Setting new Maximum Flight Altitude to 500m (1640 ft)
357200,2019-04-25 12:39:20,43.5244784770012,40.0054115640873,0,,,338.4976196,0,0.867627,13,4,16.248,338.4976196,0,0,0.867627,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357300,2019-04-25 12:39:20,43.5244784717038,40.0054115507162,0,,,338.4976196,0,0.866647,13,4,16.248,338.4976196,0,0,0.867627,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357400,2019-04-25 12:39:20,43.5244784810235,40.0054115742331,0,,,338.4976196,0,0.868371,13,4,16.248,338.4976196,0,0,0.868371,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357500,2019-04-25 12:39:20,43.5244784771156,40.0054115645422,0,,,338.4976196,0,0.867654,13,4,16.248,338.4976196,0,0,0.868371,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357600,2019-04-25 12:39:20,43.5244784837582,40.0054115842017,0,,,338.4976196,0,0.868979,13,4,16.248,338.4976196,0,0,0.868979,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357700,2019-04-25 12:39:21,43.5244784802716,40.0054115768855,0,,,338.4976196,0,0.868383,13,4,16.248,338.4976196,0,0,0.868979,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357800,2019-04-25 12:39:21,43.5244784855455,40.0054114455485,0,,,338.4976196,0,0.864613,12,4,16.248,338.4976196,0,0,0.868979,0,0,0,0, 3.4, -1.3,0,0,1024,1024,1024,1024,345.8,0,71,4.069,4.06,4.059,4.06,0,0,0,,338.4976196,0,41,Motors_Started,
357900,2019-04-25 12:39:21,43.5244784831726,40.0054114255317,0,,,338.4976196,0,0.863725,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358000,2019-04-25 12:39:21,43.5244783442394,40.0054114564268,0,,,338.4976196,0,0.850602,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358100,2019-04-25 12:39:21,43.5244783290043,40.0054114403649,0,,,338.4976196,0,0.848526,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 3.4, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358200,2019-04-25 12:39:21,43.5244783546268,40.0054114677275,0,,,338.4976196,0,0.852029,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 3.3, -1.3,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358300,2019-04-25 12:39:21,43.5244783427672,40.0054114560488,0,,,338.4976196,0,0.85044,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 3.3, -1.4,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358400,2019-04-25 12:39:21,43.5244782200728,40.005411479802,0,,,338.4976196,0,0.838805,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 3.3, -1.3,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358500,2019-04-25 12:39:21,43.524478196774,40.0054114710179,0,,,338.4976196,0,0.836154,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 3.1, -1.3,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358600,2019-04-25 12:39:21,43.5244780941869,40.005411480443,0,,,338.4976196,0,0.826123,12,4,16.153,338.4976196,0,0,0.868979,0,0,0,0, 1, -1.3,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358700,2019-04-25 12:39:21,43.5244780837327,40.0054114579302,0,,,338.4976196,0,0.824302,12,4,16.153,338.4976196,0,0,0.868979,0,0,-0.1,0.1, -3.1, -0.5,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358800,2019-04-25 12:39:22,43.5244781948682,40.0054112930546,0,,,338.4976196,0,0.830073,12,4,16.153,338.4976196,0,0,0.868979,0,0,-0.2,0.4, -4, 0,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
358900,2019-04-25 12:39:22,43.5244782819799,40.0054112323098,0,,,338.4976196,0.1,0.837004,12,4,16.153,338.4976196,0,0.1,0.868979,0.1,0,-0.3,0.2, -1.9, 0,0,0,1024,1024,1024,1024,345.8,0,71,4.05,4.038,4.033,4.032,0,0,0,,338.4976196,0,11,AutoTakeoff,
